tax.bio	kingdom	phylum	class	order	family	genus	species
1562720.SAMN04633587	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890452 Cyanobacteriaceae	102234 Cyanobacterium	1562720 Cyanobacterium sp. IPPAS B-1200
1615909.SAMD00025579	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890464 Chroococcaceae	669357 Geminocystis	1615909 Geminocystis sp. NIES-3708
1617448.SAMD00027151	2 Bacteria	1117 Cyanobacteria	NA	1118 Chroococcales	1890464 Chroococcaceae	669357 Geminocystis	1617448 Geminocystis sp. NIES-3709
1618023.SAMN03354289	2 Bacteria	1117 Cyanobacteria	NA	1890505 Chroococcidiopsidales	1890528 Chroococcidiopsidaceae	1827277 Aliterella	1827278 Aliterella atlantica
163908.SAMN02261341	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1163 Anabaena	163908 Anabaena sp. PCC 7108
1641165.SAMN03466112	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	2303730 Prochlorotrichaceae	170610 Halomicronema	1209493 Halomicronema hongdechloris
1647413.SAMN03568000	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1163 Anabaena	1647413 Anabaena sp. WA102
1662190.SAMN03736791	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	1662190 Synechococcus sp. GFB01
166314.SAMN02436260	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	166314 Synechococcus sp. WH 8109
166318.SAMN02261394	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	166318 Synechococcus sp. WH 8016
167539.SAMN02603142	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
167542.SAMN02603924	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
167546.SAMN02603288	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
167548.SAMN02769558	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
167550.SAMN02769560	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1219 Prochlorococcus marinus
1705388.SAMN04009103	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892252 Microcoleaceae	132607 Planktothricoides	1705388 Planktothricoides sp. SR001
1729650.SAMEA3590992	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892252 Microcoleaceae	54304 Planktothrix	1729650 Planktothrix sp. PCC 11201
1738638.SAMN04192332	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892252 Microcoleaceae	35823 Arthrospira	118562 Arthrospira platensis
1751286.SAMD00042755	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	1177 Nostoc	1751286 Nostoc sp. NIES-3756
1752063.SAMD00042785	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892263 Hapalosiphonaceae	1190 Fischerella	1752063 Fischerella sp. NIES-3754
1752064.SAMD00042786	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890438 Leptolyngbyaceae	47251 Leptolyngbya	1752064 Leptolyngbya sp. NIES-3755
1781255.SAMN05788062	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1969992 Desertifilaceae	1185872 Desertifilum	1781255 Desertifilum sp. IPPAS B-1220
179408.SAMN02261335	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892254 Oscillatoriaceae	1158 Oscillatoria	482564 Oscillatoria nigro-viridis
1801629.SAMN04490775	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	1801629 Synechococcus sp. MIT S9508
1801630.SAMN04490776	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	1801630 Synechococcus sp. MIT S9509
180281.SAMN02436316	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	167375 Cyanobium	180281 Cyanobium sp. PCC 7001
1850361.SAMN05003984	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890438 Leptolyngbyaceae	1005722 Phormidesmis	268141 Phormidesmis priestleyi
1853259.SAMN05208169	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1162 Nostocaceae	264688 Trichormus	1853259 Trichormus sp. NMC-1
1916956.SAMN06006676	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	1916956 Synechococcus sp. SynAce01
1920490.SAMN06036084	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890438 Leptolyngbyaceae	1005722 Phormidesmis	268141 Phormidesmis priestleyi
1921803.SAMN05890686	2 Bacteria	1117 Cyanobacteria	NA	52604 Pleurocapsales	1890497 Hydrococcaceae	1616833 Hydrococcus	1616834 Hydrococcus rivularis
1922337.SAMN06074267	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890438 Leptolyngbyaceae	47251 Leptolyngbya	1922337 Leptolyngbya sp. 'hensonii'
1924286.SAMN06061932	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1924286 Prochlorococcus sp. RS01
1943582.SAMN02745638	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	431041 Candidatus Synechococcus spongiarum
195250.SAMN02261338	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	195250 Synechococcus sp. PCC 7336
195253.SAMN02261337	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	195253 Synechococcus sp. PCC 6312
1961091.SAMN06345451	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1961091 Prochlorococcus sp. HOT208_60m_813I02
1961094.SAMN06345454	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1213 Prochloraceae	1218 Prochlorococcus	1961094 Prochlorococcus sp. HOT208_60m_813O14
197221.SAMD00061106	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	146785 Thermosynechococcus	146786 Thermosynechococcus elongatus
1981054.SAMN06765959	2 Bacteria	1117 Cyanobacteria	NA	NA	NA	NA	1981054 unicellular cyanobacterium SU2
203124.SAMN02598485	2 Bacteria	1117 Cyanobacteria	NA	1150 Oscillatoriales	1892252 Microcoleaceae	1205 Trichodesmium	1206 Trichodesmium erythraeum
211165.SAMN02469883	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892261 Chlorogloeopsidaceae	1123 Chlorogloeopsis	1124 Chlorogloeopsis fritschii
221288.SAMN02261251	2 Bacteria	1117 Cyanobacteria	NA	1161 Nostocales	1892258 Symphyonemataceae	221282 Mastigocladopsis	221287 Mastigocladopsis repens
221359.SAMN02436107	2 Bacteria	1117 Cyanobacteria	NA	1890424 Synechococcales	1890426 Synechococcaceae	1129 Synechococcus	221359 Synechococcus sp. RS9916
